,,,,,,,,,,,,,Borrow - Current Epoch,,,,Supply - Current Epoch,,,,Borrow - Next Epoch,,,,Supply - Next Epoch,,,
,,,,Network,Market,Vault Name,Borrow,Supply,Utilization,RateAsNumber,Base Borrow APR,Base Supply APR,Emissions - Tokens,Emissions - $,Emissions APR,Net Borrow APR,Emissions - Tokens,Emissions - $,Emissions APR,Net Supply APR,Emissions - Tokens,Emissions - $,Emissions APR,Net Borrow APR,Emissions - Tokens,Emissions - $,Emissions APR,Net Supply APR
,Production Interest Rate Model,,,Mode,WETH,WETH Mode,"4,387,530","5,620,065",78.07%,0.0000000089120,1.0%,8.9%,50000,"$1,856",0.51%,-0.50%,,$0,,,50000,"$1,856",0.51%,-0.50%,50000,"$1,856",0%,9.3%
,Blocks,,,,USDC,USDC Mode,"2,257,915","2,787,298",81.01%,0.0000000116877,20.2%,11.7%,50000,"$1,856",0.99%,-19.24%,,$0,,,50000,"$1,856",0.99%,-19.24%,50000,"$1,856",1%,12.5%
,,,,,msDAI,msDAI Mode,5,25,20.31%,0.0000000023183,3.7%,2.3%,,$0,,,,$0,,,,$0,0.00%,,,,,
,per Minute,30,,,ezETH,ezETH Mode,"1,596,449","8,266,431",19.31%,0.0000000022046,3.5%,2.2%,,$0,,,25000,$928,0%,2%,,$0,0.00%,,,$0,0%,2.2%
,per Day,43200,,,STONE,STONE Mode,"31,230","557,265",5.60%,0.0000000006397,1.0%,0.6%,,$0,,,50000,"$1,856",4%,5%,,$0,0.00%,,,$0,0%,0.6%
,per Year,15768000,,,sUSDe,sUSDe Mode,38,69,54.74%,0.0000000062484,10.4%,6.2%,,$0,,,,$0,,,,$0,0.00%,,,,,
,Days Per Year,365,,,USDe,USDe Mode,99,126,78.07%,0.0000000089121,15.1%,8.9%,,$0,,,,$0,,,,$0,0.00%,,,,,
,BaseRatePerYear,0,,,wrsETH,wrsETH Mode,"138,721","971,612",14.28%,0.0000000016298,2.6%,1.6%,,$0,,,25000,$928,1%,3%,,$0,0.00%,,,$0,0%,1.6%
,multiplierPerYear,1.8E+17,,,weETH.mode,weETH.mode Mode,"167,571","932,973",17.96%,0.0000000020503,3.3%,2.1%,,$0,,,50000,"$1,856",2%,4%,10000,$371,2.66%,-0.63%,,$0,0%,2.1%
,,,,,dMTBC,dMTBC Mode,#N/A,"43,608,026",0.00%,,0.0%,0.0%,,$0,,,50000,"$1,856",0%,0%,,$0,#N/A,,50000,"$1,856",0%,0.1%
,jumpperYear,4E+18,,,mBTC,mBTC Mode,"321,349","78,267,425",0.41%,0.0000000000469,0.1%,0.0%,,$0,,,50000,"$1,856",0%,0%,,$0,0.00%,,50000,"$1,856",0%,0.1%
,kink,8E+17,,,wBTC,wBTC Mode,"102,522","1,102,549",9.30%,0.0000000010615,1.7%,1.1%,,$0,,,50000,"$1,856",2%,3%,,$0,0.00%,,50000,"$1,856",2%,3.1%
,BaseRatePerBlock,0,,,USDT,USDT Mode,"444,337","527,431",84.25%,0.0000000199023,36.8%,19.9%,,$0,,,25000,$928,2%,22%,50000,"$1,856",5.01%,-31.83%,,$0,0%,19.9%
,multplierPerBlock,11415525114,,,MODE,MODE Mode Iso,"200,447","315,133",63.61%,0.0000000072611,12.1%,7.3%,50000,"$1,856",11.11%,-1.01%,,$0,,,,$0,0.00%,,,,,
,jumpPerBlock,253678335870,,,wETH,wETH Mode Iso,"24,772","218,946",11.31%,0.0000000012916,2.1%,1.3%,,$0,,,35000,"$1,299",7%,8%,,$0,0.00%,,10000,$371,2%,3.3%
,,,,,USDC,USDC Mode Iso,"6,652","164,837",4.04%,0.0000000004607,0.7%,0.5%,,$0,,,35000,"$1,299",9%,10%,,$0,0.00%,,10000,$371,3%,3.2%
,Assumptions,,,,USDT,USDT Mode Iso,"1,642","91,288",1.80%,0.0000000002054,0.3%,0.2%,,$0,,,35000,"$1,299",17%,17%,,$0,0.00%,-0.32%,10000,$371,5%,5.1%
,ION Price,$0.03713,,Base,eUSD,eUSD Base,"758,763","931,103",81.49%,0.0000000129141,22.6%,12.9%,200000,"$7,426",11.74%,-10.83%,,$0,,,150000,"$5,569",8.81%,-13.77%,,,,
,Monthly Emissions,"1,500,000",,,bsdETH,bsdETH Base,"368,443","778,490",47.33%,0.0000000054027,8.9%,5.4%,50000,"$1,856",6.05%,-2.85%,,$0,,,50000,"$1,856",6.05%,-2.85%,,,,
,% Emissions B,66.67%,,,hyUSD,hyUSD Base,"189,580","233,603",81.15%,0.0000000120622,20.9%,12.1%,50000,"$1,856",11.75%,-9.19%,35000,"$1,299",7%,19%,50000,"$1,856",11.75%,-9.19%,25000,$928,5%,16.8%
,% Emissions S.,33.33%,,,wETH,wETH Base,"1,345,516","2,226,965",60.42%,0.0000000068972,11.5%,6.9%,200000,"$7,426",6.62%,-4.86%,50000,"$1,856",1%,8%,175000,"$6,497",5.79%,-5.69%,50000,"$1,856",1%,7.9%
,,,,,weETH,weETH Base,"6,814","273,752",2.49%,0.0000000002841,0.4%,0.3%,,$0,,,25000,$928,4%,4%,,$0,0.00%,-0.45%,15000,$557,2%,2.7%
,Revenue Assumptions,,,,ezETH,ezETH Base,0,"49,581",0.00%,0.0000000000000,0.0%,0.0%,,$0,,,,$0,,,,$0,#DIV/0!,#DIV/0!,,,,
,Lender,70.00%,,,AERO,AERO Base,"130,888","181,408",72.15%,0.0000000082365,13.9%,8.2%,,$0,,,25000,$928,6%,14%,,$0,0.00%,-13.87%,10000,$371,2%,10.7%
,Reserve Fee,10.00%,,,RSR,RSR Base,"142,085","789,766",17.99%,0.0000000020537,3.3%,2.1%,,$0,,,50000,"$1,856",3%,5%,,$0,0.00%,-3.29%,15000,$557,1%,2.9%
,Admin Fee,10.00%,,,wstETH,wstETH Base,"56,848","983,959",5.78%,0.0000000006595,1.0%,0.7%,,$0,,,50000,"$1,856",2%,3%,,$0,0.00%,-1.05%,15000,$557,1%,1.3%
,Protocol Fee,10.00%,,,USDC,USDC Base,"1,494,457","1,866,251",80.08%,0.0000000093303,15.8%,9.3%,"100,000","$3,713",2.98%,-12.86%,100000,"$3,713",2%,12%,"175,000","$6,497",5.22%,-10.63%,50000,"$1,856",1%,10.5%
,Liquidation Fee,10.00%,,,cbETH,cbETH Base,"8,469","121,444",6.97%,0.0000000007961,1.3%,0.8%,,$0,,,25000,$928,9%,10%,5000,$186,26.30%,25.04%,15000,$557,6%,6.3%
,,,,,wUSDM,wUSDM Base,"65,144","83,760",77.77%,0.0000000088784,15.0%,8.9%,,$0,,,50000,"$1,856",27%,35%,10000,$371,6.84%,-8.18%,15000,$557,8%,16.9%
,Total Emissions,,,,wsuperOETH,wsuperOETH Base,24,"776,071",0.00%,0.0000000000004,0.0%,0.0%,,$0,,,,$0,,,,$0,0.00%,0.00%,,,,
,Borrow,"775,000.00",,,OGN,OGN Base,0,"9,679",0.00%,0.0000000000000,0.0%,0.0%,,$0,,,,$0,,,,$0,#DIV/0!,#DIV/0!,,,,
,Supply,"1,135,000.00",,,USDz,USDz Base,"208,515","291,351",71.57%,0.0000000081699,13.7%,8.2%,25000,$928,5.34%,-8.40%,35000,"$1,299",5%,14%,15000,$557,3.21%,-10.54%,15000,$557,2%,10.5%
,Total,"1,910,000.00",,,wUSD+,wUSD+ Base,0,"115,098",0.00%,0.0000000000000,0.0%,0.0%,,$0,,,50000,"$1,856",19%,19%,,$0,#DIV/0!,#DIV/0!,15000,$557,6%,5.8%
,,"2,250,000.00",,,USD+,USD+ Base,"2,179","2,690",80.99%,0.0000000116489,20.2%,11.6%,,$0,,,,$0,,,,$0,0.00%,-20.16%,,,,
,,"340,000",,,EURC,EURC Base,"30,342","78,412",38.70%,0.0000000044173,7.2%,4.4%,,$0,,,50000,"$1,856",28%,33%,,$0,0.00%,-7.21%,15000,$557,9%,12.9%
,,,,,uSOL,uSOL Base,"51,583","194,157",26.57%,0.0000000030329,4.9%,3.0%,,$0,,,15000,$557,3%,6%,10000,$371,8.64%,3.74%,15000,$557,3%,6.5%
,,,,,uSUI,uSUI Base,"77,436","-1,140,523",-6.79%,-0.0000000007751,-1.2%,-0.8%,,$0,,,15000,$557,-1%,-1%,10000,$371,5.75%,6.97%,15000,$557,-1%,-1.4%
,,,,,sUSDz,sUSDz Base,"50,488","101,169",49.90%,0.0000000056968,9.4%,5.7%,,$0,,,15000,$557,7%,12%,5000,$186,4.41%,-4.99%,15000,$557,7%,12.3%
,,,,,cbBTC,cbBTC Base,"4,321","251,703",1.72%,0.0000000001960,0.3%,0.2%,,$0,,,50000,"$1,856",9%,9%,,$0,0.00%,-0.31%,15000,$557,3%,2.9%
,,,,Optimism,USDC,USDC OP,"12,525","40,982",30.56%,0.0000000034889,5.7%,3.5%,,$0,,,"50,000","$1,856",54%,58%,"10,000",$371,35.57%,29.92%,"15,000",$557,16%,19.8%
,,,,,USDT,USDT OP,20,39,51.87%,0.0000000059217,9.8%,5.9%,,$0,,,,$0,,,,$0,0.00%,-9.79%,,,,
,,,,,wETH,wETH OP,"111,649","172,509",64.72%,0.0000000073882,12.4%,7.4%,,$0,,,,$0,,,"10,000",$371,3.99%,-8.36%,"10,000",$371,3%,10.0%
,,,,,wUSDM,wUSDM OP,235,"25,873",0.91%,0.0000000001035,0.2%,0.1%,,$0,,,,,,,,$0,0.00%,-0.16%,"5,000",$186,9%,8.7%
,,,,,weETH,weETH OP,"1,662","104,281",1.59%,0.0000000001819,0.3%,0.2%,,$0,,,,,,,,$0,0.00%,-0.29%,"10,000",$371,4%,4.5%
,,,,,OP,OP OP,"1,873","106,261",1.76%,0.0000000002012,0.3%,0.2%,,$0,,,,$0,,,,$0,0.00%,-0.32%,,,,
,,,,,wstETH,wstETH OP,1,22,5.08%,0.0000000005797,0.9%,0.6%,,$0,,,,$0,,,,$0,0.00%,-0.92%,,,,
,,,,,SNX,SNX OP,"36,128","111,524",32.39%,0.0000000036980,6.0%,3.7%,,$0,,,"15,000",$557,6%,10%,,$0,0.00%,-6.00%,"5,000",$186,2%,5.7%
,,,,,wBTC,wBTC OP,3,28,11.17%,0.0000000012756,2.0%,1.3%,,$0,,,,$0,,,,$0,0.00%,-2.03%,,$0,0%,1.3%
,,,,,LUSD,LUSD OP,4,22,18.96%,0.0000000021648,3.5%,2.2%,,$0,,,,$0,,,,,,,,,,
,,,,FRAXTAL,FRAX,FRAX FRAX,,,,,,,,,,,,,,,,,,,,,,
,,,,,wfrxETH,wfrxETH FRAX,,,,,,,,,,,,,,,,,,,,,,
,,,,,FXS,FXS FRAX,,,,,,,,,,,,,,,,,,,,,,
,,,,BOB,USDC,USDC BOB,,,,,,,,,,,,,,,,,,,,,,
,,,,,USDT,USDT BOB,,,,,,,,,,,,,,,,,,,,,,
,,,,,wETH,wETH BOB,,,,,,,,,,,,,,,,,,,,,,
,,,,,wBTC,wBTC BOB,,,,,,,,,,,,,,,,,,,,,,
,,,,,tBTC,tBTC BOB,,,,,,,,,,,,,,,,,,,,,,
,,,,,SOV,SOV BOB,,,,,,,,,,,,,,,,,,,,,,
