vaultName,Deposit Change,Borrow Change,Current Deposits,Current Borrows,Size Category,Age Category
ionAEROb,1121987.77,122660.78,1121987.77,142733.94,Medium,New
ionEURCb,1987597.69,45468.42,1987597.69,45497.1,Small,New
ionOGNb,78757.66,,78757.66,,Small,New
ionRSRb,4311835.69,167543.8,4311835.69,174398.53,Large,New
ionUSDCb,35497885.58,1702221.81,35497885.58,1704861.42,Medium,Old
ionUSDplusb,1902707.92,833.99,1902707.92,838.49,Small,New
ionUSDzb,4102032.62,187983.13,4102032.62,236295.43,Small,New
ionWETHb,52522965.45,1052537.72,52522965.45,1055005.33,Large,Old
ioncbBTCb,1151342.0,-18529.21,1151342.0,10984.7,Medium,New
ioncbETHb,844656.53,4857.62,844656.53,4858.0,Small,Old
ioneUSDb,11476182.13,820019.61,11476182.13,877201.77,Medium,New
ionezETHb,1577963.41,,1577963.41,,Small,Old
ionsUSDzb,356853.34,50977.42,356853.34,51734.52,Small,New
ionuSOLb,425467.78,61766.27,425467.78,61770.43,Medium,New
ionuSUIb,299652.73,71690.41,299652.73,71692.46,Small,New
ionwUSDMb,597591.72,66418.68,597591.72,66423.16,Small,New
ionwUSDplusb,1757437.44,,1757437.44,,Medium,New
ionweETHb,877490.62,22083.71,877490.62,22167.96,Medium,Old
ionwstETHb,1914989.32,17691.3,1914989.32,18049.46,Small,Old
ionwsuperOETHb,6666377.43,10.72,6666377.43,28.18,Large,New
