vaultName,Deposit Change,Borrow Change,Current Deposits,Current Borrows,Size Category,Age Category
ionAEROb,1122836.79,122660.78,1122836.79,142733.94,Medium,New
ionEURCb,2040513.06,45468.42,2040513.06,45497.1,Small,New
ionOGNb,78757.66,,78757.66,,Small,New
ionRSRb,4311835.69,167543.8,4311835.69,174398.53,Large,New
ionUSDCb,36642952.25,1702221.81,36642952.25,1704861.42,Medium,Old
ionUSDplusb,1902707.92,833.99,1902707.92,838.49,Small,New
ionUSDzb,4362154.75,187983.13,4362154.75,236295.43,Medium,New
ionWETHb,52530629.83,1052537.72,52530629.83,1055005.33,Large,Old
ioncbBTCb,1151342.0,-18529.21,1151342.0,10984.7,Medium,New
ioncbETHb,860933.17,4857.62,860933.17,4858.0,Small,Old
ioneUSDb,12456444.88,820019.61,12456444.88,877201.77,Medium,New
ionezETHb,1577963.41,,1577963.41,,Small,Old
ionsUSDzb,376853.34,50977.42,376853.34,51734.52,Small,New
ionuSOLb,425467.78,61766.27,425467.78,61770.43,Medium,New
ionuSUIb,299652.73,71690.41,299652.73,71692.46,Small,New
ionwUSDMb,597591.64,66418.68,597591.64,66423.16,Small,New
ionwUSDplusb,1757437.44,,1757437.44,,Medium,New
ionweETHb,879036.46,22083.71,879036.46,22167.96,Medium,Old
ionwstETHb,1914989.72,17691.3,1914989.72,18049.46,Small,Old
ionwsuperOETHb,6666379.79,10.72,6666379.79,28.18,Large,New
